ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,entity_classname,entity_alias,entity_javapackage,ad_field_id,field_name,isdisplayed,isreadonly,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,4249,Generate Invoice from Receipt,Y,N,@Processed@='Y',,,183,GenerateTo,28,N,Y,,1,,,,,Button,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3DE09F050A624C9D9E5477D0A94491A1,Process Shipment Java,Y,N,@DocStatus@!'CL'&@DocStatus@!'VO',,,184,Process_Goods_Java,28,N,Y,CO,60,,,,,Button,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3506,Process Shipment,N,N,@DocStatus@!'CL'&@DocStatus@!'VO',,,184,DocAction,28,Y,Y,CO,60,,,,,Button,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,5146,Posted,Y,N,@Processed@='Y' & @#ShowAcct@='Y',,,185,Posted,28,Y,Y,N,60,,,,,Button,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,6528,Company Agent,N,N,,,,186,SalesRep_ID,18,N,Y,,22,,,6F75AF1B05464DD894033D50AEC67310,@Processed@='Y',Table,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3488,Charge,N,N,,,,190,C_Charge_ID,18,N,Y,,22,,,,@Processed@='Y',Table,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3491,Charge Amount,N,N,,,,200,ChargeAmt,12,N,Y,0,22,,,,@Processed@='Y',Amount,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3494,Delivery Terms,N,N,@MovementType@='C-',,,210,DeliveryRule,17,Y,Y,A,60,,,,@Processed@='Y',List,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3495,Delivery Method,N,N,@MovementType@='C-',,,220,DeliveryViaRule,17,Y,Y,P,60,,,,@Processed@='Y',List,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3497,Freight Amount,N,N,@FreightCostRule@='F' | @FreightCostRule@='C',,,230,FreightAmt,12,N,Y,0,22,,,,,Amount,
