ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,ad_field_id,field_name,isdisplayed,isreadonly,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1114,Warehouse,Y,N,,,,110,M_Warehouse_ID,95E2A8B50A254B2AAE6774B8C2F28120,Y,Y,,22,,,,@Processed@='Y',OBUISEL_Selector Reference,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1104,Invoice Terms,Y,N,@OrderType@='SO' | @OrderType@='WP' | @OrderType@='PR' | @OrderType@='WR',,,120,InvoiceRule,17,Y,Y,D,60,,,1000200003,,List,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1082,Document Status,N,Y,,,,180,DocStatus,17,Y,N,DR,60,,,,,List,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1113,Total Gross Amount,N,Y,,,,190,GrandTotal,12,Y,N,,22,,,,,Amount,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1112,Total Net Amount,N,Y,,,,200,TotalLines,12,Y,N,,22,,,,,Amount,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1103,Currency,N,Y,,,,210,C_Currency_ID,19,Y,N,@C_Currency_ID@,22,,,,,TableDir,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1572,User/Contact,N,N,,,,310,AD_User_ID,19,N,Y,,22,,,123,@Processed@='Y',TableDir,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1084,Document Type,N,Y,,,,315,C_DocType_ID,19,Y,N,0,22,,,,,TableDir,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,CE4E2705AE237709E040007F0100279F,Reservation Status,N,Y,@StockReservations@!'',,,316,SO_Res_Status,17,N,Y,,60,,,,,List,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,2111,Order Reference,Y,N,,,,318,POReference,10,N,Y,,20,,,,,String,
