ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,entity_classname,entity_alias,entity_javapackage,ad_field_id,field_name,field_isactive,isdisplayed,isreadonly,isshowninstatusbar,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3425,Document Status,Y,N,Y,Y,,,,150,DocStatus,17,Y,N,DR,60,,,,,List,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3450,Total Gross Amount,Y,N,Y,Y,,,,160,GrandTotal,12,Y,N,,22,,,,,Amount,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3449,Total Net Amount,Y,N,Y,Y,,,,190,TotalLines,12,Y,N,,22,,,,,Amount,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3441,Currency,Y,N,Y,Y,,,,210,C_Currency_ID,19,Y,N,@C_Currency_ID@,22,,,,,TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3452,User/Contact,Y,N,N,N,,,,300,AD_User_ID,19,N,Y,,22,,,123,@Processed@='Y',TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,800149,Delivery notes,Y,Y,N,N,,,,328,Deliverynotes,14,N,Y,,2000,,,,,Text,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3429,Description,Y,Y,N,N,,,,342,Description,14,N,Y,,255,,,,,Text,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3455,Order Reference,Y,Y,N,N,,,,356,POReference,10,N,Y,,20,,,,,String,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,E525DCA1E13E453483A98EC87484CE0E,Cash VAT,Y,Y,N,N,,,,360,Iscashvat,20,Y,Y,N,1,,,,@Processed@='Y',YesNo,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3438,Company Agent,Y,N,N,N,,,,370,SalesRep_ID,18,N,Y,,22,,,6F75AF1B05464DD894033D50AEC67310,,Table,
